entity_id,risk_score,top_factors,reason_text,intervention_tier,bias_flag
STU-00000,0.8149,"['approval_rate', 'Course', 'Curricular units 1st sem (enrolled)']","High risk due to low course approval rate, (mitigating) chosen course of study, and (mitigating) 1st semester enrollment. Immediate intervention recommended.",High,True
STU-00001,0.0953,"['approval_rate', 'Tuition fees up to date', 'Previous qualification (grade)']","Low risk. Key factors: (mitigating) low course approval rate, tuition payment status, and (mitigating) prior qualification grade. No immediate action required.",Low,True
STU-00002,0.9004,"['Tuition fees up to date', 'approval_rate', 'Curricular units 2nd sem (evaluations)']","High risk due to tuition payment status, low course approval rate, and 2nd semester evaluation attempts. Immediate intervention recommended.",High,True
STU-00003,0.2096,"['approval_rate', 'Course', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) unemployment rate environment. No immediate action required.",Low,True
STU-00004,0.0688,"['approval_rate', 'Course', 'Age at enrollment']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and age at enrollment. No immediate action required.",Low,True
STU-00005,0.1655,"['approval_rate', 'Debtor', 'Age at enrollment']","Low risk. Key factors: (mitigating) low course approval rate, outstanding debt, and age at enrollment. No immediate action required.",Low,True
STU-00006,0.0657,"['approval_rate', 'Scholarship holder', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) 2nd semester grades. No immediate action required.",Low,True
STU-00007,0.9006,"['Tuition fees up to date', 'approval_rate', 'Course']","High risk due to tuition payment status, low course approval rate, and chosen course of study. Immediate intervention recommended.",High,True
STU-00008,0.0713,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and admission grade level. No immediate action required.",Low,True
STU-00009,0.8457,"['Tuition fees up to date', 'approval_rate', 'Age at enrollment']","High risk due to tuition payment status, low course approval rate, and (mitigating) age at enrollment. Immediate intervention recommended.",High,True
STU-00010,0.0859,"['approval_rate', 'Curricular units 2nd sem (grade)', 'perf_delta']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and declining academic performance. No immediate action required.",Low,True
STU-00011,0.0647,"['approval_rate', 'Scholarship holder', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-00012,0.8984,"['approval_rate', 'Course', 'Curricular units 2nd sem (evaluations)']","High risk due to low course approval rate, chosen course of study, and 2nd semester evaluation attempts. Immediate intervention recommended.",High,True
STU-00013,0.0639,"['approval_rate', 'Previous qualification (grade)', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) prior qualification grade, and (mitigating) admission grade level. No immediate action required.",Low,True
STU-00014,0.063,"['approval_rate', 'Course', 'perf_delta']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) declining academic performance. No immediate action required.",Low,True
STU-00015,0.8933,"['approval_rate', 'Course', 'grade_delta']","High risk due to low course approval rate, chosen course of study, and dropping grades between semesters. Immediate intervention recommended.",High,True
STU-00016,0.2012,"['approval_rate', 'Age at enrollment', 'perf_delta']","Low risk. Key factors: low course approval rate, (mitigating) age at enrollment, and (mitigating) declining academic performance. No immediate action required.",Low,True
STU-00017,0.0776,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 2nd semester grades, and unemployment rate environment. No immediate action required.",Low,True
STU-00018,0.067,"['approval_rate', 'total_no_eval', 'Curricular units 1st sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) skipping evaluations, and (mitigating) 1st semester grades. No immediate action required.",Low,True
STU-00019,0.0813,"['approval_rate', 'Course', 'Application mode']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) application method. No immediate action required.",Low,True
STU-00020,0.1824,"['approval_rate', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: low course approval rate, (mitigating) chosen course of study, and (mitigating) 1st semester enrollment. No immediate action required.",Low,True
STU-00021,0.067,"['approval_rate', 'Curricular units 1st sem (evaluations)', ""Father's qualification""]","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 1st semester evaluation attempts, and (mitigating) father's education level. No immediate action required.",Low,True
STU-00022,0.067,"['approval_rate', 'grade_delta', 'GDP']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) dropping grades between semesters, and (mitigating) economic GDP conditions. No immediate action required.",Low,True
STU-00023,0.0635,"['approval_rate', 'Admission grade', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and chosen course of study. No immediate action required.",Low,True
STU-00024,0.0715,"['approval_rate', 'Age at enrollment', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) age at enrollment, and (mitigating) displacement status. No immediate action required.",Low,True
STU-00025,0.4293,"['Debtor', 'Unemployment rate', 'Tuition fees up to date']","Moderate risk influenced by outstanding debt, (mitigating) unemployment rate environment, and (mitigating) tuition payment status. Review within 30 days advised.",Medium,True
STU-00026,0.065,"['approval_rate', 'Admission grade', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-00027,0.1451,"['approval_rate', 'total_no_eval', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, skipping evaluations, and admission grade level. No immediate action required.",Low,True
STU-00028,0.0627,"['approval_rate', 'Admission grade', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-00029,0.0796,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Age at enrollment']","Low risk. Key factors: (mitigating) low course approval rate, 2nd semester grades, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00030,0.0696,"['approval_rate', 'Course', 'Previous qualification (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) prior qualification grade. No immediate action required.",Low,True
STU-00031,0.063,"[""Mother's occupation"", 'approval_rate', 'GDP']","Low risk. Key factors: (mitigating) mother's occupation, (mitigating) low course approval rate, and economic GDP conditions. No immediate action required.",Low,True
STU-00032,0.2583,"['approval_rate', 'Tuition fees up to date', 'Age at enrollment']","Low risk. Key factors: low course approval rate, tuition payment status, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00033,0.0624,"['approval_rate', 'Course', 'Curricular units 2nd sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) 2nd semester grades. No immediate action required.",Low,True
STU-00034,0.0793,"['approval_rate', 'Course', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, chosen course of study, and (mitigating) displacement status. No immediate action required.",Low,True
STU-00035,0.8977,"['Tuition fees up to date', 'approval_rate', 'Age at enrollment']","High risk due to tuition payment status, low course approval rate, and age at enrollment. Immediate intervention recommended.",High,True
STU-00036,0.9007,"['approval_rate', ""Mother's occupation"", 'Age at enrollment']","High risk due to low course approval rate, mother's occupation, and age at enrollment. Immediate intervention recommended.",High,True
STU-00037,0.889,"['approval_rate', 'Age at enrollment', 'total_no_eval']","High risk due to low course approval rate, age at enrollment, and skipping evaluations. Immediate intervention recommended.",High,True
STU-00038,0.0651,"['approval_rate', 'Marital Status', 'Course']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) marital status, and chosen course of study. No immediate action required.",Low,True
STU-00039,0.8821,"['Tuition fees up to date', 'approval_rate', 'Curricular units 1st sem (evaluations)']","High risk due to tuition payment status, low course approval rate, and (mitigating) 1st semester evaluation attempts. Immediate intervention recommended.",High,True
STU-00040,0.8981,"['approval_rate', 'Course', 'grade_delta']","High risk due to low course approval rate, chosen course of study, and dropping grades between semesters. Immediate intervention recommended.",High,True
STU-00041,0.0662,"['approval_rate', 'GDP', 'Curricular units 1st sem (grade)']","Low risk. Key factors: (mitigating) low course approval rate, economic GDP conditions, and (mitigating) 1st semester grades. No immediate action required.",Low,True
STU-00042,0.0615,"['Previous qualification (grade)', 'approval_rate', 'Admission grade']","Low risk. Key factors: (mitigating) prior qualification grade, (mitigating) low course approval rate, and (mitigating) admission grade level. No immediate action required.",Low,True
STU-00043,0.8831,"['Tuition fees up to date', 'GDP', 'Course']","High risk due to tuition payment status, economic GDP conditions, and chosen course of study. Immediate intervention recommended.",High,True
STU-00044,0.9002,"['approval_rate', 'Curricular units 2nd sem (evaluations)', 'Age at enrollment']","High risk due to low course approval rate, 2nd semester evaluation attempts, and age at enrollment. Immediate intervention recommended.",High,True
STU-00045,0.1686,"['approval_rate', 'Curricular units 2nd sem (grade)', ""Father's occupation""]","Low risk. Key factors: low course approval rate, (mitigating) 2nd semester grades, and (mitigating) father's occupation. No immediate action required.",Low,True
STU-00046,0.1049,"['approval_rate', 'GDP', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, economic GDP conditions, and admission grade level. No immediate action required.",Low,True
STU-00047,0.1568,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Scholarship holder']","Low risk. Key factors: (mitigating) low course approval rate, 2nd semester grades, and (mitigating) scholarship support. No immediate action required.",Low,True
STU-00048,0.0635,"['approval_rate', 'Course', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and (mitigating) displacement status. No immediate action required.",Low,True
STU-00049,0.0634,"['approval_rate', 'Scholarship holder', 'Curricular units 2nd sem (approved)']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) scholarship support, and (mitigating) low 2nd semester approvals. No immediate action required.",Low,True
STU-00050,0.0614,"['approval_rate', 'Admission grade', 'Scholarship holder']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) admission grade level, and (mitigating) scholarship support. No immediate action required.",Low,True
STU-00051,0.0663,"[""Father's occupation"", 'Scholarship holder', 'Tuition fees up to date']","Low risk. Key factors: (mitigating) father's occupation, (mitigating) scholarship support, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-00052,0.0833,"['Tuition fees up to date', 'Curricular units 1st sem (grade)', 'approval_rate']","Low risk. Key factors: (mitigating) tuition payment status, (mitigating) 1st semester grades, and low course approval rate. No immediate action required.",Low,True
STU-00053,0.0629,"['approval_rate', 'Displaced', 'Application order']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) displacement status, and application preference order. No immediate action required.",Low,True
STU-00054,0.666,"['approval_rate', 'Course', 'Curricular units 1st sem (grade)']","Moderate risk influenced by (mitigating) low course approval rate, chosen course of study, and 1st semester grades. Review within 30 days advised.",Medium,True
STU-00055,0.0787,"['approval_rate', 'Unemployment rate', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, unemployment rate environment, and admission grade level. No immediate action required.",Low,True
STU-00056,0.8967,"['approval_rate', 'Age at enrollment', 'Curricular units 2nd sem (approved)']","High risk due to low course approval rate, age at enrollment, and low 2nd semester approvals. Immediate intervention recommended.",High,True
STU-00057,0.6601,"['approval_rate', 'Age at enrollment', 'Curricular units 2nd sem (credited)']","Moderate risk influenced by (mitigating) low course approval rate, age at enrollment, and 2nd semester credits. Review within 30 days advised.",Medium,True
STU-00058,0.0662,"['approval_rate', 'Curricular units 1st sem (grade)', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) 1st semester grades, and admission grade level. No immediate action required.",Low,True
STU-00059,0.258,"['approval_rate', 'Curricular units 1st sem (enrolled)', 'Course']","Low risk. Key factors: low course approval rate, (mitigating) 1st semester enrollment, and (mitigating) chosen course of study. No immediate action required.",Low,True
STU-00060,0.0656,"['approval_rate', 'Age at enrollment', 'Unemployment rate']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) age at enrollment, and unemployment rate environment. No immediate action required.",Low,True
STU-00061,0.0632,"['approval_rate', 'Displaced', 'Admission grade']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) displacement status, and admission grade level. No immediate action required.",Low,True
STU-00062,0.2936,"['approval_rate', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: low course approval rate, (mitigating) chosen course of study, and (mitigating) 1st semester enrollment. No immediate action required.",Low,True
STU-00063,0.2366,"['approval_rate', 'Course', 'Tuition fees up to date']","Low risk. Key factors: low course approval rate, (mitigating) chosen course of study, and (mitigating) tuition payment status. No immediate action required.",Low,True
STU-00064,0.5442,"['approval_rate', 'Course', 'Admission grade']","Moderate risk influenced by low course approval rate, (mitigating) chosen course of study, and (mitigating) admission grade level. Review within 30 days advised.",Medium,True
STU-00065,0.8717,"['approval_rate', 'Age at enrollment', ""Mother's occupation""]","High risk due to low course approval rate, age at enrollment, and mother's occupation. Immediate intervention recommended.",High,True
STU-00066,0.1401,"['approval_rate', 'Course', 'Curricular units 1st sem (enrolled)']","Low risk. Key factors: low course approval rate, (mitigating) chosen course of study, and (mitigating) 1st semester enrollment. No immediate action required.",Low,True
STU-00067,0.0639,"['approval_rate', 'Course', 'GDP']","Low risk. Key factors: (mitigating) low course approval rate, (mitigating) chosen course of study, and economic GDP conditions. No immediate action required.",Low,True
STU-00068,0.6797,"['Debtor', 'approval_rate', 'total_no_eval']","Moderate risk influenced by outstanding debt, (mitigating) low course approval rate, and skipping evaluations. Review within 30 days advised.",Medium,True
STU-00069,0.109,"['approval_rate', 'Age at enrollment', 'Previous qualification (grade)']","Low risk. Key factors: (mitigating) low course approval rate, age at enrollment, and (mitigating) prior qualification grade. No immediate action required.",Low,True
STU-00070,0.5661,"['approval_rate', 'Unemployment rate', 'Age at enrollment']","Moderate risk influenced by low course approval rate, (mitigating) unemployment rate environment, and (mitigating) age at enrollment. Review within 30 days advised.",Medium,True
STU-00071,0.0874,"['approval_rate', 'Curricular units 2nd sem (grade)', 'Displaced']","Low risk. Key factors: (mitigating) low course approval rate, 2nd semester grades, and (mitigating) displacement status. No immediate action required.",Low,True
