entity_id,risk_score,top_factors,reason_text,intervention_tier,bias_flag
STU-00000,0.7225,"['ratio_curricular_units_2nd_sem', 'Course', 'Curricular units 1st sem (enrolled)']","High risk due to ratio curricular units 2nd sem, (mitigating) course, and (mitigating) curricular units 1st sem (enrolled). Immediate review recommended.",High,True
STU-00001,0.1009,"['ratio_curricular_units_2nd_sem', 'Tuition fees up to date', 'Previous qualification (grade)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, tuition fees up to date, and (mitigating) previous qualification (grade). No immediate action required.",Low,True
STU-00002,0.8962,"['Tuition fees up to date', 'ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (evaluations)']","High risk due to tuition fees up to date, ratio curricular units 2nd sem, and curricular units 2nd sem (evaluations). Immediate review recommended.",High,True
STU-00003,0.1404,"['ratio_curricular_units_2nd_sem', 'Course', 'Age at enrollment']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, course, and (mitigating) age at enrollment. No immediate action required.",Low,True
STU-00004,0.0701,"['ratio_curricular_units_2nd_sem', 'Course', 'Age at enrollment']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and age at enrollment. No immediate action required.",Low,True
STU-00005,0.1477,"['ratio_curricular_units_2nd_sem', 'Age at enrollment', 'Course']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, age at enrollment, and course. No immediate action required.",Low,True
STU-00006,0.0667,"['ratio_curricular_units_2nd_sem', 'Scholarship holder', 'Unemployment rate']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) scholarship holder, and unemployment rate. No immediate action required.",Low,True
STU-00007,0.8965,"['Tuition fees up to date', 'ratio_curricular_units_2nd_sem', 'ratio_curricular_units_1st_sem']","High risk due to tuition fees up to date, ratio curricular units 2nd sem, and ratio curricular units 1st sem. Immediate review recommended.",High,True
STU-00008,0.0701,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (grade)', 'Scholarship holder']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) curricular units 2nd sem (grade), and (mitigating) scholarship holder. No immediate action required.",Low,True
STU-00009,0.8398,"['Tuition fees up to date', 'ratio_curricular_units_2nd_sem', 'Admission grade']","High risk due to tuition fees up to date, ratio curricular units 2nd sem, and admission grade. Immediate review recommended.",High,True
STU-00010,0.0775,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (grade)', 'ratio_curricular_units_1st_sem']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) curricular units 2nd sem (grade), and (mitigating) ratio curricular units 1st sem. No immediate action required.",Low,True
STU-00011,0.0653,"['ratio_curricular_units_2nd_sem', 'Scholarship holder', 'Unemployment rate']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) scholarship holder, and unemployment rate. No immediate action required.",Low,True
STU-00012,0.8933,"['ratio_curricular_units_2nd_sem', 'Curricular units 2nd sem (evaluations)', 'Course']","High risk due to ratio curricular units 2nd sem, curricular units 2nd sem (evaluations), and course. Immediate review recommended.",High,True
STU-00013,0.0665,"['ratio_curricular_units_2nd_sem', 'Admission grade', 'Previous qualification (grade)']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) admission grade, and (mitigating) previous qualification (grade). No immediate action required.",Low,True
STU-00014,0.0643,"['ratio_curricular_units_2nd_sem', 'Course', 'Scholarship holder']","Low risk. Key factors: (mitigating) ratio curricular units 2nd sem, (mitigating) course, and (mitigating) scholarship holder. No immediate action required.",Low,True
